date,participant_type,buy_value,sell_value,net_value,market_segment,sector,instrument,series_kind,source_name,source_url,source_type,extraction_method,is_official,is_provisional,is_final,confidence_score,currency,notes
2016-04-18,FII/FPI,4996.730605807,4255.077437451,741.6531683559997,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-20,FII/FPI,6132.440324784,5091.990141915,1040.450182869,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-21,FII/FPI,6061.693898161,6072.850260859,-11.156362697999612,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-22,FII/FPI,5738.293422236,4795.046700165,943.2467220709996,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-25,FII/FPI,3701.415930966,3506.456832452,194.95909851399983,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-26,FII/FPI,5719.699351251,5462.6665048019995,257.0328464490003,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-27,FII/FPI,4871.006348228,4298.3273785559995,572.6789696720007,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-28,FII/FPI,4450.103985826,4011.423488772,438.68049705400017,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-04-29,FII/FPI,9154.142226014,8918.337954793,235.80427122100082,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
2016-05-04,FII/FPI,3075.765389802,2699.428280384,376.3371094179998,capital_market,,equity,reconstructed_official_tradewise,sebi_cdsl_tradewise,cached_month_chunks:/tmp/tradewise_month_chunks,official_tradewise_zip,chunked_monthly_reconstruction_grouped_by_date,True,False,True,0.86,INR crore,"Reconstructed from official monthly trade-wise archives with report_date + EQ/EU profile, merged to one row per date. Missing official source months: 2021-05, 2021-06 due malformed/truncated source files."
